ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Gender,Married,Education,Self_Employed,Property_Area,Loan_Status,Approval_Probability,Risk_Score,Risk_Level_ML,Total_Income,Income_Band,Predicted_Status
4583,1508.0,128.0,1.0,1,1,0,0,0,0,0.8456857362928364,0.1543142637071636,Low Risk,6091.0,High,1
3000,0.0,66.0,1.0,1,1,0,1,2,1,0.8330500453345874,0.16694995466541263,Low Risk,3000.0,Medium,1
2583,2358.0,120.0,1.0,1,1,1,0,2,1,0.8181102551213613,0.18188974487863874,Low Risk,4941.0,Medium,1
6000,0.0,141.0,1.0,1,0,0,0,2,1,0.7421915249266982,0.25780847507330185,Low Risk,6000.0,High,1
5417,4196.0,267.0,1.0,1,1,0,1,2,1,0.7412144749387942,0.2587855250612058,Low Risk,9613.0,Very High,1
2333,1516.0,95.0,1.0,1,1,1,0,2,1,0.830498668591901,0.16950133140809898,Low Risk,3849.0,Medium,1
3036,2504.0,158.0,0.0,1,1,0,0,1,0,0.15658764337768377,0.8434123566223162,High Risk,5540.0,High,0
4006,1526.0,168.0,1.0,1,1,0,0,2,1,0.8323039946509107,0.16769600534908935,Low Risk,5532.0,High,1
12841,10968.0,349.0,1.0,1,1,0,0,1,0,0.697331585566275,0.30266841443372505,Medium Risk,23809.0,,1
3200,700.0,70.0,1.0,1,1,0,0,2,1,0.8594207818954201,0.14057921810457985,Low Risk,3900.0,Medium,1
3073,8106.0,200.0,1.0,1,1,0,0,2,1,0.7699349879887943,0.23006501201120566,Low Risk,11179.0,,1
1853,2840.0,114.0,1.0,1,0,0,0,0,0,0.7273091005553036,0.2726908994446964,Low Risk,4693.0,Medium,1
1299,1086.0,17.0,1.0,1,1,0,0,2,1,0.8674298518156185,0.1325701481843815,Low Risk,2385.0,Low,1
4950,0.0,125.0,1.0,1,0,0,0,2,1,0.7471076707079417,0.2528923292920583,Low Risk,4950.0,Medium,1
3510,0.0,76.0,0.0,0,0,0,0,2,0,0.09414051544972481,0.9058594845502752,High Risk,3510.0,Medium,0
4887,0.0,133.0,1.0,1,1,1,0,0,0,0.8368527079270672,0.16314729207293277,Low Risk,4887.0,Medium,1
7660,0.0,104.0,0.0,1,1,1,0,2,0,0.16700910190328244,0.8329908980967176,High Risk,7660.0,Very High,0
